측정일시,측정소명,이산화질소농도(ppm),오존농도(ppm),이산화탄소농도(ppm),아황산가스(ppm),미세먼지(㎍/㎥),초미세먼지(㎍/㎥)
2020-01-01,강남구,0.037,0.003,0.7,0.003,30,22
2020-01-01,강동구,0.036,0.005,0.5,0.003,35,27
2020-01-01,강북구,0.045,0.004,0.6,0.003,40,26
2020-01-01,강서구,0.04,0.004,0.6,0.005,38,22
2020-01-01,관악구,0.042,0.011,0.6,0.003,33,21
2020-01-01,광진구,0.031,0.003,0.6,0.002,28,16
2020-01-01,구로구,0.034,0.008,0.4,0.004,30,23
2020-01-01,금천구,0.038,0.003,0.6,0.004,29,26
2020-01-01,노원구,0.036,0.005,0.6,0.004,27,23
2020-01-01,도봉구,0.031,0.005,0.7,0.002,30,20
2020-01-01,동대문구,0.039,0.003,0.7,0.003,32,19
2020-01-01,동작구,0.039,0.004,0.6,0.003,38,25
2020-01-01,마포구,0.042,0.003,0.7,0.003,30,22
2020-01-01,서대문구,0.038,0.004,0.8,0.004,32,17
2020-01-01,서초구,0.046,0.008,0.5,0.003,37,23
2020-01-01,성동구,0.04,0.003,0.6,0.003,31,22
2020-01-01,성북구,0.044,0.004,0.9,0.003,32,21
2020-01-01,송파구,0.037,0.004,0.6,0.003,31,21
2020-01-01,양천구,0.042,0.003,0.7,0.004,40,26
2020-01-01,영등포구,0.039,0.003,0.9,0.003,32,22
2020-01-01,용산구,0.033,0.004,0.6,0.003,28,23
2020-01-01,은평구,0.035,0.003,0.7,0.003,32,20
2020-01-01,종로구,0.04,0.003,0.7,0.003,34,24
2020-01-01,중구,0.037,0.003,0.6,0.003,34,28
2020-01-01,중랑구,0.036,0.005,0.6,0.003,31,16
2020-01-02,강남구,0.042,0.003,0.8,0.004,56,42
2020-01-02,강동구,0.041,0.003,0.7,0.003,66,49
2020-01-02,강북구,0.044,0.006,0.8,0.003,62,43
2020-01-02,강서구,0.046,0.003,0.8,0.005,67,38
2020-01-02,관악구,0.046,0.009,0.8,0.004,56,37
2020-01-02,광진구,0.037,0.004,0.8,0.003,73,38
2020-01-02,구로구,0.036,0.007,0.5,0.004,56,41
2020-01-02,금천구,0.045,0.002,0.7,0.004,53,46
2020-01-02,노원구,0.044,0.005,0.8,0.005,47,40
2020-01-02,도봉구,0.033,0.007,0.9,0.003,53,34
2020-01-02,동대문구,0.041,0.003,0.8,0.003,52,36
2020-01-02,동작구,0.045,0.004,0.7,0.004,63,44
2020-01-02,마포구,0.048,0.003,0.8,0.004,51,38
2020-01-02,서대문구,0.04,0.004,1,0.004,60,31
2020-01-02,서초구,0.051,0.008,0.6,0.004,69,43
2020-01-02,성동구,0.043,0.003,0.7,0.004,55,39
2020-01-02,성북구,0.048,0.004,1,0.004,60,37
2020-01-02,송파구,0.043,0.003,0.8,0.004,56,38
2020-01-02,양천구,0.045,0.002,0.8,0.005,68,44
2020-01-02,영등포구,0.044,0.003,1.1,0.004,54,39
2020-01-02,용산구,0.036,0.003,0.7,0.003,53,43
2020-01-02,은평구,0.037,0.003,0.9,0.003,56,34
2020-01-02,종로구,0.043,0.003,0.9,0.004,59,45
2020-01-02,중구,0.041,0.003,0.8,0.004,58,47
2020-01-02,중랑구,0.041,0.004,0.8,0.003,59,32
2020-01-03,강남구,0.041,0.01,0.8,0.004,61,46
2020-01-03,강동구,0.046,0.007,0.9,0.003,76,56
2020-01-03,강북구,0.038,0.013,0.8,0.003,66,45
2020-01-03,강서구,0.042,0.009,0.8,0.007,90,48
2020-01-03,관악구,0.044,0.008,0.9,0.005,71,47
2020-01-03,광진구,0.037,0.007,0.9,0.003,64,36
2020-01-03,구로구,0.036,0.014,0.6,0.005,70,47
2020-01-03,금천구,0.042,0.009,0.9,0.004,65,55
2020-01-03,노원구,0.044,0.008,1,0.005,55,46
2020-01-03,도봉구,0.026,0.017,0.8,0.003,56,35
2020-01-03,동대문구,0.037,0.01,0.8,0.004,60,42
2020-01-03,동작구,0.045,0.008,0.8,0.004,82,54
2020-01-03,마포구,0.042,0.008,0.9,0.004,66,51
2020-01-03,서대문구,0.035,0.01,1.2,0.007,68,35
2020-01-03,서초구,0.047,0.014,0.6,0.005,79,49
2020-01-03,성동구,0.04,0.009,0.8,0.004,63,46
2020-01-03,성북구,0.044,0.009,1,0.004,63,41
2020-01-03,송파구,0.045,0.007,0.9,0.004,63,43
2020-01-03,양천구,0.042,0.008,0.9,0.006,84,56
2020-01-03,영등포구,0.042,0.007,1.2,0.004,68,48
2020-01-03,용산구,0.034,0.009,0.8,0.004,63,47
2020-01-03,은평구,0.03,0.007,0.9,0.003,65,38
2020-01-03,종로구,0.037,0.01,0.8,0.004,66,48
2020-01-03,중구,0.034,0.011,0.8,0.004,65,53
2020-01-03,중랑구,0.041,0.009,0.8,0.003,65,36
2020-01-04,강남구,0.045,0.012,0.9,0.004,54,40
2020-01-04,강동구,0.044,0.01,0.9,0.004,63,47
2020-01-04,강북구,0.04,0.016,0.8,0.004,56,40
2020-01-04,강서구,0.051,0.012,1.1,0.006,70,38
2020-01-04,관악구,0.052,0.009,1,0.004,55,36
2020-01-04,광진구,0.037,0.01,1,0.003,54,30
2020-01-04,구로구,0.04,0.015,0.7,0.005,57,38
2020-01-04,금천구,0.046,0.009,0.9,0.004,48,43
2020-01-04,노원구,0.048,0.009,1,0.006,49,41
2020-01-04,도봉구,0.034,0.016,1,0.003,50,32
2020-01-04,동대문구,0.043,0.012,0.8,0.004,52,35
2020-01-04,동작구,0.049,0.01,0.8,0.004,68,41
2020-01-04,마포구,0.057,0.014,1.2,0.005,55,44
2020-01-04,서대문구,0.039,0.013,1.2,0.006,53,28
2020-01-04,서초구,0.053,0.017,0.8,0.004,62,40
2020-01-04,성동구,0.043,0.012,0.9,0.005,54,40
2020-01-04,성북구,0.048,0.013,1,0.004,52,34
2020-01-04,송파구,0.05,0.008,1,0.005,55,38
2020-01-04,양천구,0.054,0.011,1,0.006,68,46
2020-01-04,영등포구,0.052,0.01,1.4,0.004,56,39
2020-01-04,용산구,0.038,0.011,0.9,0.004,53,40
2020-01-04,은평구,0.028,0.019,0.9,0.004,52,28
2020-01-04,종로구,0.043,0.013,1,0.005,56,41
2020-01-04,중구,0.04,0.014,0.9,0.004,53,44
2020-01-04,중랑구,0.046,0.01,1,0.004,57,32
2020-01-05,강남구,0.045,0.008,0.9,0.004,45,34
2020-01-05,강동구,0.043,0.008,0.8,0.003,57,41
2020-01-05,강북구,0.045,0.01,0.9,0.004,58,40
2020-01-05,강서구,0.04,0.012,0.8,0.006,64,36
2020-01-05,관악구,0.053,0.006,1,0.005,53,36
2020-01-05,광진구,0.035,0.008,0.9,0.004,47,27
2020-01-05,구로구,0.042,0.011,0.6,0.005,50,38
2020-01-05,금천구,0.048,0.006,0.9,0.004,45,41
2020-01-05,노원구,0.049,0.006,1.1,0.006,47,40
2020-01-05,도봉구,0.039,0.008,1,0.004,52,31
2020-01-05,동대문구,0.049,0.006,0.7,0.004,48,33
2020-01-05,동작구,0.053,0.006,0.9,0.004,64,40
2020-01-05,마포구,0.051,0.011,0.8,0.004,50,40
2020-01-05,서대문구,0.043,0.008,1.3,0.008,53,29
2020-01-05,서초구,0.058,0.01,0.7,0.004,60,37
2020-01-05,성동구,0.043,0.008,0.8,0.004,46,35
2020-01-05,성북구,0.054,0.006,1.1,0.004,51,36
2020-01-05,송파구,0.045,0.007,0.9,0.004,47,33
2020-01-05,양천구,0.046,0.009,0.9,0.006,60,43
2020-01-05,영등포구,0.047,0.007,1.2,0.004,50,36
2020-01-05,용산구,0.038,0.007,0.8,0.004,44,35
2020-01-05,은평구,0.038,0.009,0.9,0.003,52,29
2020-01-05,종로구,0.048,0.007,1,0.005,53,39
2020-01-05,중구,0.046,0.006,0.9,0.004,52,43
2020-01-05,중랑구,0.039,0.01,0.8,0.004,51,28
2020-01-06,강남구,0.041,0.005,0.7,0.003,38,28
2020-01-06,강동구,0.04,0.005,0.7,0.003,44,33
2020-01-06,강북구,0.044,0.008,0.7,0.003,40,28
2020-01-06,강서구,0.048,0.004,0.8,0.004,49,28
2020-01-06,관악구,0.049,0.002,0.8,0.003,43,29
2020-01-06,광진구,0.03,0.007,0.8,0.003,35,20
2020-01-06,구로구,0.038,0.007,0.5,0.004,39,30
2020-01-06,금천구,0.044,0.005,0.7,0.004,34,31
2020-01-06,노원구,0.044,0.005,0.8,0.005,36,30
2020-01-06,도봉구,0.037,0.005,0.8,0.003,37,24
2020-01-06,동대문구,0.047,0.003,0.6,0.003,40,27
2020-01-06,동작구,0.049,0.004,0.7,0.003,57,35
2020-01-06,마포구,0.044,0.009,0.6,0.003,35,28
2020-01-06,서대문구,0.025,0.017,0.6,0.003,29,16
2020-01-06,서초구,0.05,0.009,0.5,0.003,44,29
2020-01-06,성동구,0.036,0.008,0.6,0.005,37,28
2020-01-06,성북구,0.05,0.004,0.9,0.004,41,27
2020-01-06,송파구,0.044,0.003,0.8,0.004,42,29
2020-01-06,양천구,0.049,0.003,0.8,0.005,48,32
2020-01-06,영등포구,0.047,0.003,1.1,0.003,42,30
2020-01-06,용산구,0.035,0.005,0.7,0.003,35,28
2020-01-06,은평구,0.011,0.029,0.6,0.002,17,11
2020-01-06,종로구,0.045,0.004,0.9,0.004,41,31
2020-01-06,중구,0.041,0.004,0.8,0.004,41,34
2020-01-06,중랑구,0.036,0.008,0.7,0.003,39,21
2020-01-07,강남구,0.029,0.011,0.5,0.002,6,4
2020-01-07,강동구,0.022,0.014,0.4,0.003,6,6
2020-01-07,강북구,0.037,0.01,0.5,0.003,10,7
2020-01-07,강서구,0.034,0.007,0.6,0.003,11,7
2020-01-07,관악구,0.038,0.005,0.6,0.003,10,6
2020-01-07,광진구,0.018,0.014,0.6,0.003,5,5
2020-01-07,구로구,0.029,0.011,0.4,0.003,9,8
2020-01-07,금천구,0.029,0.009,0.5,0.002,6,6
2020-01-07,노원구,0.035,0.004,0.6,0.004,14,12
2020-01-07,도봉구,0.026,0.012,0.5,0.002,8,8
2020-01-07,동대문구,0.037,0.005,0.6,0.002,12,6
2020-01-07,동작구,0.038,0.007,0.6,0.002,12,6
2020-01-07,마포구,0.028,0.013,0.5,0.002,7,5
2020-01-07,서대문구,0.01,0.026,0.4,0.002,3,1
2020-01-07,서초구,0.037,0.012,0.4,0.002,7,7
2020-01-07,성동구,0.032,0.007,0.5,0.005,13,10
2020-01-07,성북구,0.037,0.007,0.7,0.003,12,7
2020-01-07,송파구,0.035,0.006,0.6,0.003,7,4
2020-01-07,양천구,0.035,0.007,0.6,0.004,10,6
2020-01-07,영등포구,0.034,0.007,0.8,0.002,10,6
2020-01-07,용산구,0.025,0.008,0.5,0.002,4,6
2020-01-07,은평구,0.023,0.013,0.8,0.002,8,7
2020-01-07,종로구,0.032,0.007,0.7,0.003,10,8
2020-01-07,중구,0.031,0.008,0.5,0.003,9,8
2020-01-07,중랑구,0.031,0.009,0.5,0.002,10,4
2020-01-08,강남구,0.026,0.015,0.6,0.002,20,16
2020-01-08,강동구,0.026,0.013,0.6,0.003,25,21
2020-01-08,강북구,0.027,0.018,0.5,0.002,22,17
2020-01-08,강서구,0.018,0.019,0.5,0.005,29,19
2020-01-08,관악구,0.026,0.014,0.6,0.003,30,21
